bin_i	bin_j	mean_r2	n_pairs
1:20490001-20500000	1:21300001-21310000	0.00216892	33374
1:17400001-17410000	1:21130001-21140000	0.00204859	78588
1:18780001-18790000	1:19160001-19170000	0.0141044	41285
1:18870001-18880000	1:19880001-19890000	0.00207475	8250
1:18750001-18760000	1:20180001-20190000	0.00496693	84040
1:18460001-18470000	1:18920001-18930000	0.00155881	4761
1:17670001-17680000	1:20750001-20760000	0.00240831	75075
1:17640001-17650000	1:21290001-21300000	0.0031729	30550
1:20350001-20360000	1:20490001-20500000	0.00326041	117260
1:18640001-18650000	1:19060001-19070000	0.0144456	28036
1:18730001-18740000	1:19780001-19790000	0.00864247	85981
1:18610001-18620000	1:20080001-20090000	0.00176541	47912
1:17530001-17540000	1:20650001-20660000	0.00207765	49419
1:17950001-17960000	1:19640001-19650000	0.00194634	2940
1:20210001-20220000	1:20390001-20400000	0.00317031	84466
1:20990001-21000000	1:21080001-21090000	0.00452299	1947
1:18380001-18390000	1:19990001-20000000	0.00231968	4840
1:17320001-17330000	1:19570001-19580000	0.00389269	53320
1:17810001-17820000	1:19540001-19550000	0.00685536	43056
1:19080001-19090000	1:20910001-20920000	0.00159612	9396
1:18810001-18820000	1:18890001-18900000	0.0170034	264027
1:19650001-19660000	1:21060001-21070000	0.00400233	35325
1:21010001-21020000	1:21210001-21220000	0.00470767	36312
1:19360001-19370000	1:19800001-19810000	0.00658502	95708
1:19240001-19250000	1:20100001-20110000	0.00287123	3861
1:17360001-17370000	1:18370001-18380000	0.00106673	322
1:19780001-19790000	1:20580001-20590000	0.00449037	81310
1:19220001-19230000	1:19700001-19710000	0.0017926	324
1:19100001-19110000	1:20000001-20010000	0.00504132	157276
1:18370001-18380000	1:20370001-20380000	0.00140643	380
1:17900001-17910000	1:21300001-21310000	0.00254712	22422
1:17680001-17690000	1:20950001-20960000	0.0031667	45250
1:20360001-20370000	1:20690001-20700000	0.00417402	19145
1:18650001-18660000	1:19260001-19270000	0.0020642	2685
1:18740001-18750000	1:19980001-19990000	0.00250001	24745
1:18230001-18240000	1:20270001-20280000	0.00291588	11310
1:18810001-18820000	1:20960001-20970000	0.00238471	115731
1:17870001-17880000	1:19120001-19130000	0.00961758	105339
1:18240001-18250000	1:18300001-18310000	0.00461415	399
1:17590001-17600000	1:21040001-21050000	0.00230763	9685
1:17450001-17460000	1:20130001-20140000	0.00402339	84524
1:17540001-17550000	1:20850001-20860000	0.00149531	676
1:20220001-20230000	1:20590001-20600000	0.0008851	684
1:18590001-18600000	1:20390001-20400000	0.0059392	25120
1:18510001-18520000	1:19160001-19170000	0.0027705	5290
1:18600001-18610000	1:19880001-19890000	0.00156797	11220
1:18780001-18790000	1:18780001-18790000	0.0760825	64261
1:17730001-17740000	1:19020001-19030000	0.00362403	59540
1:17820001-17830000	1:19740001-19750000	0.00223917	16954
1:18100001-18110000	1:18200001-18210000	0.0141832	3240
1:17310001-17320000	1:20030001-20040000	0.00437015	121771
1:17400001-17410000	1:20750001-20760000	0.0026325	144963
1:17860001-17870000	1:18540001-18550000	0.00156884	1432
1:19520001-19530000	1:21160001-21170000	0.0018279	8774
1:18110001-18120000	1:19990001-20000000	0.00441082	14960
1:19230001-19240000	1:19900001-19910000	0.00172021	13948
1:19110001-19120000	1:20200001-20210000	0.00337263	44688
1:18350001-18360000	1:21010001-21020000	0.00130649	534
1:19650001-19660000	1:20680001-20690000	0.00308271	24750
1:18380001-18390000	1:20570001-20580000	0.0013872	25740
1:18870001-18880000	1:20540001-20550000	0.00170182	7475
1:18240001-18250000	1:20470001-20480000	0.00681136	18753
1:18730001-18740000	1:20440001-20450000	0.00357117	139160
1:17460001-17470000	1:20330001-20340000	0.00198488	4366
1:20230001-20240000	1:20790001-20800000	0.00317529	56322
1:18100001-18110000	1:20370001-20380000	0.0021494	20520
1:18520001-18530000	1:19360001-19370000	0.00157393	3033
1:17350001-17360000	1:19210001-19220000	0.00172851	14760
1:17440001-17450000	1:19930001-19940000	0.00247552	21614
1:17320001-17330000	1:20230001-20240000	0.00209241	21672
1:17410001-17420000	1:20950001-20960000	0.00336642	98000
1:17810001-17820000	1:20200001-20210000	0.00246933	68796
1:17900001-17910000	1:20920001-20930000	0.00337873	53934
1:18650001-18660000	1:18880001-18890000	0.011205	8592
1:17600001-17610000	1:19120001-19130000	0.0023001	17958
1:17870001-17880000	1:18740001-18750000	0.0205706	242905
1:17590001-17600000	1:20660001-20670000	0.00202602	30940
1:17380001-17390000	1:18770001-18780000	0.00148681	14948
1:18990001-19000000	1:19150001-19160000	0.0207897	71337
1:18510001-18520000	1:18780001-18790000	0.00264258	16514
1:17730001-17740000	1:18640001-18650000	0.00625057	42380
1:18360001-18370000	1:21210001-21220000	0.00332112	1020
1:19000001-19010000	1:21250001-21260000	0.00236577	53856
1:19660001-19670000	1:20880001-20890000	0.00559485	45900
1:19570001-19580000	1:20160001-20170000	0.00373206	121830
1:18220001-18230000	1:21110001-21120000	0.00305607	18522
1:20560001-20570000	1:21130001-21140000	0.00323205	72372
1:20070001-20080000	1:21160001-21170000	0.00324048	749
1:18880001-18890000	1:20740001-20750000	0.00236764	9168
1:19520001-19530000	1:20780001-20790000	0.00193208	12054
1:20420001-20430000	1:21030001-21040000	0.00176421	3968
1:18770001-18780000	1:19620001-19630000	0.0190341	5476
1:18740001-18750000	1:20640001-20650000	0.00418939	132815
1:19490001-19500000	1:20890001-20900000	0.00321902	18920
1:17960001-17970000	1:20500001-20510000	0.00581656	55536
1:18140001-18150000	1:19550001-19560000	0.00476481	11310
1:18110001-18120000	1:20570001-20580000	0.0015604	79560
1:18600001-18610000	1:20540001-20550000	0.00156794	10166
1:17820001-17830000	1:20400001-20410000	0.00463331	49651
1:17360001-17370000	1:19410001-19420000	0.00178593	50232
1:17330001-17340000	1:20430001-20440000	0.00253535	36270
1:18000001-18010000	1:19450001-19460000	0.00210024	1840
1:17430001-17440000	1:20490001-20500000	0.00160595	176341
1:17880001-17890000	1:18940001-18950000	0.00208379	30652
1:18520001-18530000	1:18980001-18990000	0.00260997	2547
1:17790001-17800000	1:19030001-19040000	0.00458017	25926
1:17650001-17660000	1:18120001-18130000	0.00487111	8736
1:17740001-17750000	1:18840001-18850000	0.0074619	27348
1:17490001-17500000	1:19740001-19750000	0.00180297	1470
1:19580001-19590000	1:20360001-20370000	0.00370885	182698
1:17510001-17520000	1:18020001-18030000	0.0085101	15960
1:17600001-17610000	1:18740001-18750000	0.00242991	41410
1:19930001-19940000	1:20230001-20240000	0.00312669	12726
1:19560001-19570000	1:19960001-19970000	0.00437321	22204
1:19530001-19540000	1:20980001-20990000	0.00252051	97526
1:19440001-19450000	1:20260001-20270000	0.00360174	29450
1:19190001-19200000	1:21160001-21170000	0.00284729	42693
1:20920001-20930000	1:21200001-21210000	0.00323142	46814
1:20430001-20440000	1:21230001-21240000	0.003125	11388
1:19290001-19300000	1:19910001-19920000	0.00276896	7276
1:18780001-18790000	1:19820001-19830000	0.00603626	2513
1:18660001-18670000	1:20120001-20130000	0.00286677	6175
1:18360001-18370000	1:20830001-20840000	0.00467784	1525
1:19420001-19430000	1:19860001-19870000	0.000964368	1073
1:19300001-19310000	1:20160001-20170000	0.00297003	18864
1:18550001-18560000	1:19000001-19010000	0.00230918	32640
1:18640001-18650000	1:19720001-19730000	0.00982438	10921
1:17400001-17410000	1:17480001-17490000	0.0107073	209745
1:18520001-18530000	1:20020001-20030000	0.00181129	1188
1:18610001-18620000	1:20740001-20750000	0.0015464	21583
1:18060001-18070000	1:19030001-19040000	0.00978827	14602
1:18150001-18160000	1:19750001-19760000	0.00212538	1170
1:18030001-18040000	1:20050001-20060000	0.00167934	280
1:20560001-20570000	1:20750001-20760000	0.0030541	133497
1:20070001-20080000	1:20780001-20790000	0.00201548	1029
1:17830001-17840000	1:20600001-20610000	0.000951703	12
1:20290001-20300000	1:20700001-20710000	0.00368651	44145
1:18500001-18510000	1:19620001-19630000	0.00160144	629
1:18010001-18020000	1:19650001-19660000	0.0120683	40725
1:18790001-18800000	1:20450001-20460000	0.00344678	54395
1:17440001-17450000	1:20690001-20700000	0.00225181	7490
1:19560001-19570000	1:21000001-21010000	0.00240285	25376
1:19070001-19080000	1:21030001-21040000	0.00240857	24064
1:18440001-18450000	1:18460001-18470000	0.00179077	6555
1:18190001-18200000	1:19360001-19370000	0.0261429	6740
1:17660001-17670000	1:18320001-18330000	0.00121562	2240
1:17930001-17940000	1:19180001-19190000	0.012061	39711
1:18300001-18310000	1:18360001-18370000	0.0744784	35
1:17520001-17530000	1:18220001-18230000	0.00641899	23912
1:17610001-17620000	1:18940001-18950000	0.0016263	15326
1:19940001-19950000	1:20430001-20440000	0.00501018	26130
1:19450001-19460000	1:20460001-20470000	0.00157179	1984
1:17790001-17800000	1:18650001-18660000	0.00590432	31146
1:19800001-19810000	1:20330001-20340000	0.00295358	16756
1:19340001-19350000	1:19340001-19350000	0.104786	210276
1:19310001-19320000	1:20360001-20370000	0.00249353	177775
1:18940001-18950000	1:21180001-21190000	0.00177699	51429
1:18070001-18080000	1:19230001-19240000	0.00164877	7392
1:18560001-18570000	1:19200001-19210000	0.00210614	1976
1:18650001-18660000	1:19920001-19930000	0.00233131	895
1:18530001-18540000	1:20220001-20230000	0.00166013	336
1:18230001-18240000	1:20930001-20940000	0.00391021	5742
1:20570001-20580000	1:20950001-20960000	0.00350055	117000
1:20080001-20090000	1:20980001-20990000	0.00419782	121264
1:19200001-19210000	1:19240001-19250000	0.00435447	1482
1:18800001-18810000	1:21080001-21090000	0.00304283	25842
1:20330001-20340000	1:20990001-21000000	0.00235635	649
1:19490001-19500000	1:20070001-20080000	0.00313444	308
1:18510001-18520000	1:19820001-19830000	0.00204549	322
1:20430001-20440000	1:20850001-20860000	0.00191234	1014
1:17450001-17460000	1:20890001-20900000	0.00347158	194360
1:19570001-19580000	1:21200001-21210000	0.00273215	81530
1:18060001-18070000	1:18650001-18660000	0.0216854	17542
1:18690001-18700000	1:19530001-19540000	0.00672333	71610
1:17310001-17320000	1:20790001-20800000	0.00224113	220371
1:19430001-19440000	1:21100001-21110000	0.00115393	247
1:17940001-17950000	1:19380001-19390000	0.0127064	82600
1:18310001-18320000	1:18560001-18570000	0.0021165	52
1:19180001-19190000	1:21290001-21300000	0.00194852	40138
1:17800001-17810000	1:19280001-19290000	0.00358069	3705
1:19950001-19960000	1:20630001-20640000	0.00306581	14700
1:19070001-19080000	1:20650001-20660000	0.00224069	28764
1:19040001-19050000	1:21190001-21200000	0.00333862	36582
1:17660001-17670000	1:17940001-17950000	0.0106675	78400
1:19810001-19820000	1:20530001-20540000	0.00325218	40320
1:19350001-19360000	1:19540001-19550000	0.0134782	91632
1:18150001-18160000	1:20410001-20420000	0.00633991	25857
1:17520001-17530000	1:17840001-17850000	0.0041993	29280
1:18570001-18580000	1:19400001-19410000	0.00228629	6275
1:19210001-19220000	1:19440001-19450000	0.00193863	3800
1:17640001-17650000	1:21130001-21140000	0.00313951	48100
1:18010001-18020000	1:20310001-20320000	0.00311389	61902
1:18430001-18440000	1:19300001-19310000	0.00173367	2160
1:20490001-20500000	1:21240001-21250000	0.00213064	147477
1:18180001-18190000	1:19490001-19500000	0.00566829	748
1:18850001-18860000	1:20080001-20090000	0.00517065	11448
1:20210001-20220000	1:20230001-20240000	0.0294947	33894
1:18040001-18050000	1:19390001-19400000	0.00976295	41174
1:18070001-18080000	1:18850001-18860000	0.0143908	4536
1:18990001-19000000	1:19810001-19820000	0.011093	49770
1:17560001-17570000	1:19570001-19580000	0.00305739	34100
1:19300001-19310000	1:21200001-21210000	0.00301316	12624
1:17420001-17430000	1:19470001-19480000	0.00183945	97875
1:19570001-19580000	1:20820001-20830000	0.0020112	205840
1:19480001-19490000	1:20100001-20110000	0.00256827	49995
1:19080001-19090000	1:20850001-20860000	0.00144733	377
1:19730001-19740000	1:20010001-20020000	0.00767275	35984
1:19430001-19440000	1:20720001-20730000	0.00144	2431
1:18160001-18170000	1:20610001-20620000	0.00923942	16461
1:19220001-19230000	1:19640001-19650000	0.00191126	588
1:19920001-19930000	1:20790001-20800000	0.00317178	2235
1:18020001-18030000	1:20510001-20520000	0.00636528	3268
1:20360001-20370000	1:20530001-20540000	0.00417314	105024
1:18980001-18990000	1:19980001-19990000	0.00255219	13867
1:17680001-17690000	1:20990001-21000000	0.00317809	1991
1:18300001-18310000	1:19400001-19410000	0.00670359	1757
1:17510001-17520000	1:21230001-21240000	0.0030656	61320
1:20220001-20230000	1:20430001-20440000	0.000933589	468
1:18050001-18060000	1:19590001-19600000	0.00798093	5064
1:18840001-18850000	1:19880001-19890000	0.00757402	34980
1:18720001-18730000	1:20180001-20190000	0.00441453	20246
1:17480001-17490000	1:19050001-19060000	0.00672105	7505
1:17450001-17460000	1:20070001-20080000	0.0045839	3164
1:17970001-17980000	1:19020001-19030000	0.007122	63204
1:18430001-18440000	1:18920001-18930000	0.00150008	3105
1:17940001-17950000	1:20040001-20050000	0.00416256	131040
1:20490001-20500000	1:20860001-20870000	0.00229077	50061
1:18690001-18700000	1:20290001-20300000	0.0029861	68670
1:17430001-17440000	1:19670001-19680000	0.00228623	169694
1:17920001-17930000	1:19640001-19650000	0.00178761	16758
1:19760001-19770000	1:21160001-21170000	0.00283456	9095
1:19490001-19500000	1:21110001-21120000	0.00215029	8316
1:19470001-19480000	1:19900001-19910000	0.002131	118875
1:19440001-19450000	1:20920001-20930000	0.00303425	16910
1:19350001-19360000	1:20200001-20210000	0.00355591	146412
1:17860001-17870000	1:18480001-18490000	0.0024069	10740
1:18980001-18990000	1:21020001-21030000	0.00412486	95371
1:19620001-19630000	1:21060001-21070000	0.00376187	5809
1:17450001-17460000	1:17520001-17530000	0.00904076	110288
1:19720001-19730000	1:19810001-19820000	0.0189386	14070
1:19300001-19310000	1:20820001-20830000	0.00221135	31872
1:19210001-19220000	1:20100001-20110000	0.00175525	3960
1:17720001-17730000	1:18380001-18390000	0.00227484	28820
1:18030001-18040000	1:20710001-20720000	0.0012717	364
1:17310001-17320000	1:17420001-17430000	0.00500648	128673
1:19000001-19010000	1:19020001-19030000	0.0112419	46716
1:17690001-17700000	1:18490001-18500000	0.00143174	10296
1:18870001-18880000	1:20480001-20490000	0.00181707	2800
1:20230001-20240000	1:20630001-20640000	0.00412983	22050
1:20470001-20480000	1:20790001-20800000	0.00592517	147063
1:18760001-18770000	1:19360001-19370000	0.00877256	87620
1:18730001-18740000	1:20380001-20390000	0.00161364	158543
1:18350001-18360000	1:18400001-18410000	0.00298983	219
1:17950001-17960000	1:20240001-20250000	0.0017777	1660
1:17650001-17660000	1:20950001-20960000	0.00319806	28000
1:18490001-18500000	1:19310001-19320000	0.00138989	32175
1:17980001-17990000	1:19220001-19230000	0.00286023	178
1:20330001-20340000	1:20690001-20700000	0.00410205	2065
1:18620001-18630000	1:19260001-19270000	0.00282749	540
1:18710001-18720000	1:19980001-19990000	0.00255084	5243
1:17410001-17420000	1:20990001-21000000	0.00249412	4312
1:18210001-18220000	1:18300001-18310000	0.00925526	1498
1:17810001-17820000	1:20140001-20150000	0.00463225	19422
1:17900001-17910000	1:20860001-20870000	0.00269462	33633
1:17990001-18000000	1:21220001-21230000	0.00153353	876
1:17350001-17360000	1:19150001-19160000	0.00447131	111069
1:17440001-17450000	1:19870001-19880000	0.0022142	49006
1:17840001-17850000	1:19120001-19130000	0.00814319	26280
1:17930001-17940000	1:19840001-19850000	0.00680439	1395
1:17700001-17710000	1:19020001-19030000	0.00569724	10076
1:19360001-19370000	1:20400001-20410000	0.00375708	96719
1:17870001-17880000	1:18680001-18690000	0.0126509	189514
1:17480001-17490000	1:18670001-18680000	0.00914879	187230
1:19630001-19640000	1:21260001-21270000	0.0026549	83665
1:17730001-17740000	1:18580001-18590000	0.00189729	34580
1:18850001-18860000	1:21120001-21130000	0.00338465	1593
1:17320001-17330000	1:17620001-17630000	0.00600351	82044
1:19200001-19210000	1:19900001-19910000	0.00928616	12046
1:18220001-18230000	1:21050001-21060000	0.00431522	63700
1:18710001-18720000	1:21020001-21030000	0.00350771	36059
1:20170001-20180000	1:21060001-21070000	0.00497609	51810
1:19490001-19500000	1:20730001-20740000	0.00196338	4752
1:20730001-20740000	1:20800001-20810000	0.00865015	27756
1:18770001-18780000	1:19560001-19570000	0.00723318	18056
1:18350001-18360000	1:20570001-20580000	0.00162456	1404
1:20010001-20020000	1:20010001-20020000	0.0680398	14878
1:18360001-18370000	1:18600001-18610000	0.00292755	170
1:20340001-20350000	1:20890001-20900000	0.00417494	134590
1:18630001-18640000	1:19460001-19470000	0.00200916	2010
1:18600001-18610000	1:20480001-20490000	0.00198773	3808
1:17850001-17860000	1:19320001-19330000	0.00352407	13965
1:18220001-18230000	1:18500001-18510000	0.00784816	1666
1:17430001-17440000	1:20330001-20340000	0.00168359	23069
1:20200001-20210000	1:20790001-20800000	0.00301047	131418
1:17710001-17720000	1:19220001-19230000	0.00110644	534
1:17800001-17810000	1:19940001-19950000	0.00430201	82745
1:18490001-18500000	1:18930001-18940000	0.00195363	6138
1:19230001-19240000	1:20500001-20510000	0.0018335	13728
1:17650001-17660000	1:18060001-18070000	0.00821503	10976
1:17490001-17500000	1:19680001-19690000	0.00275593	8115
1:17350001-17360000	1:18770001-18780000	0.00448338	54612
1:19770001-19780000	1:20980001-20990000	0.00306158	28886
1:17600001-17610000	1:18680001-18690000	0.00180202	32308
1:18720001-18730000	1:21220001-21230000	0.00267938	11607
1:20670001-20680000	1:21230001-21240000	0.00277142	48764
1:20180001-20190000	1:21260001-21270000	0.00238815	55390
1:19930001-19940000	1:20170001-20180000	0.00522703	33330
1:20920001-20930000	1:21140001-21150000	0.00290494	14062
1:20040001-20050000	1:21160001-21170000	0.0023647	50076
1:19390001-19400000	1:19810001-19820000	0.00681416	49980
1:18360001-18370000	1:20770001-20780000	0.00227101	120
1:18850001-18860000	1:20740001-20750000	0.00330398	5157
1:18220001-18230000	1:20670001-20680000	0.00353356	32732
1:18640001-18650000	1:19660001-19670000	0.0124273	69275
